index_pb,PB_INA,channel_shihai,rms_no,rms_cab,rms_cab_hv
0,0,1,2.18346,13.4304,9.621
1,1,2.000,2.237,16.479,10.157
2,2,3.000,2.278,16.666,10.143
3,3,4.000,2.343,16.574,10.441
4,4,5.000,2.292,16.297,10.198
5,5,6.000,2.203,12.437,8.862
6,6,7.000,2.144,16.344,9.519
7,7,8.000,2.186,14.145,9.346
8,8,9.000,1.897,2.220,2.147
9,9,10.000,2.053,15.894,9.219
10,10,11.000,2.123,16.067,9.255
11,11,12.000,2.082,15.389,9.074
12,12,13.000,2.099,15.643,9.188
13,13,14.000,2.082,12.621,8.694
14,14,15.000,2.145,15.254,9.099
15,15,16.000,2.191,15.716,9.114
16,16,17.000,2.218,12.433,8.558
17,17,18.000,2.190,2.723,2.470
18,18,20.000,2.196,15.711,9.101
19,19,21.000,2.132,14.473,8.355
20,20,22.000,2.105,14.541,8.446
21,21,23.000,2.206,14.800,8.561
22,22,24.000,2.128,14.296,8.312
23,23,25.000,2.111,14.869,8.524
24,24,26.000,2.263,14.323,8.152
25,25,27.000,2.065,13.520,7.719
26,26,28.000,2.055,2.647,2.327
27,27,29.000,2.108,13.412,7.463
28,28,30.000,2.133,13.605,7.689
29,29,31.000,2.085,12.516,7.320
30,30,32.000,2.319,13.659,7.715
31,31,33.000,2.029,11.893,6.517
32,32,34.000,1.984,12.815,7.067
33,33,35.000,2.223,12.945,7.247
34,34,36.000,2.174,12.223,7.313
35,35,37.000,1.946,2.753,2.458
36,36,39.000,1.975,3.471,2.624
37,37,40.000,1.779,3.557,2.525
38,38,41.000,1.986,3.739,2.701
39,39,42.000,1.779,3.687,2.479
40,40,43.000,1.850,3.848,2.589
41,41,44.000,1.847,4.033,2.654
42,42,45.000,1.933,4.530,2.938
43,43,46.000,1.977,4.433,2.959
44,44,47.000,1.734,1.844,1.712
45,45,48.000,1.741,4.933,3.134
46,46,49.000,1.978,4.750,3.153
47,47,50.000,1.742,5.218,3.146
48,48,51.000,1.741,5.147,3.151
49,49,52.000,1.737,5.411,3.212
50,50,53.000,1.940,5.587,3.329
51,51,54.000,1.915,6.457,3.856
52,52,55.000,1.820,6.319,3.665
53,53,56.000,1.849,1.941,1.804
54,54,58.000,1.895,6.673,3.892
55,55,59.000,1.797,6.319,3.578
56,56,60.000,1.839,7.182,4.010
57,57,61.000,1.832,7.022,3.922
58,58,62.000,1.878,7.588,4.187
59,59,63.000,1.887,7.779,4.246
60,60,64.000,1.900,8.140,4.330
61,61,65.000,1.879,8.100,4.474
62,62,66.000,1.884,2.038,1.918
63,63,67.000,1.593,4.666,3.182
64,64,68.000,1.819,8.869,4.829
65,65,69.000,1.829,8.542,4.661
66,66,70.000,1.919,9.316,5.084
67,67,71.000,1.863,9.249,4.918
68,68,72.000,2.008,9.363,5.137
69,69,73.000,1.861,9.958,5.390
70,70,74.000,1.783,9.921,5.406
71,71,75.000,1.859,2.110,1.916
72,0,77.000,1.799,10.299,5.763
73,1,78.000,1.492,9.799,4.510
74,2,79.000,1.672,9.624,4.976
75,3,80.000,1.772,10.531,5.658
76,4,81.000,1.895,5.339,4.392
77,5,82.000,1.565,9.055,4.368
78,6,83.000,1.539,9.233,4.502
79,7,84.000,1.557,9.126,4.596
80,8,85.000,1.505,1.644,1.561
81,9,86.000,1.649,9.154,4.819
82,10,87.000,1.571,8.648,4.539
83,11,88.000,1.773,9.446,4.912
84,12,89.000,1.739,9.163,4.938
85,13,90.000,1.322,7.765,4.998
86,14,91.000,1.773,8.240,4.913
87,15,92.000,2.008,9.497,5.226
88,16,93.000,1.685,8.456,4.562
89,17,94.000,1.817,2.142,1.871
90,18,96.000,1.790,8.818,5.038
91,19,97.000,1.846,7.848,4.805
92,20,98.000,1.838,8.394,4.842
93,21,99.000,1.751,8.203,4.404
94,22,100.000,1.838,8.320,4.662
95,23,101.000,1.801,7.628,4.566
96,24,102.000,1.650,7.396,3.845
97,25,103.000,1.833,2.088,1.909
98,26,104.000,1.942,2.161,2.108
99,27,105.000,1.706,7.072,3.775
100,28,106.000,1.922,7.943,4.475
101,29,107.000,1.549,5.708,3.142
102,30,108.000,1.939,7.305,4.326
103,31,109.000,1.663,6.422,3.659
104,32,110.000,1.741,6.085,3.179
105,33,111.000,1.732,6.457,3.721
106,34,112.000,1.597,5.578,3.278
107,35,113.000,1.524,1.816,1.679
108,36,115.000,1.815,3.501,2.364
109,37,116.000,1.856,3.675,2.421
110,38,117.000,1.633,3.500,2.279
111,39,118.000,1.709,3.636,2.382
112,40,119.000,1.768,3.723,2.366
113,41,120.000,1.869,3.729,2.582
114,42,121.000,1.738,3.726,2.287
115,43,122.000,1.989,4.120,2.785
116,44,123.000,1.743,1.944,1.854
117,45,124.000,1.820,3.779,2.396
118,46,125.000,1.689,3.873,2.262
119,47,126.000,2.001,4.713,2.979
120,48,127.000,1.686,4.155,2.341
121,49,128.000,1.968,4.865,3.031
122,50,129.000,1.820,4.383,2.484
123,51,130.000,1.804,4.512,2.616
