index_pb,PB_INA,channel_shihai,rms_no,rms_cab,rms_cab_hv
124,52,131.000,1.735,4.386,2.489
125,53,132.000,1.679,1.615,1.659
126,54,134.000,1.830,4.596,2.894
127,55,135.000,1.943,4.711,3.066
128,56,136.000,1.741,4.278,2.680
129,57,137.000,1.721,4.171,2.404
130,58,138.000,1.847,4.907,2.859
131,59,139.000,1.620,4.309,2.400
132,60,140.000,1.747,4.401,2.623
133,61,141.000,1.829,4.484,2.638
134,62,142.000,1.679,1.649,1.617
135,63,143.000,1.748,4.926,2.653
136,64,144.000,1.769,4.811,2.693
137,65,145.000,1.748,4.427,2.602
138,66,146.000,1.943,5.674,3.111
139,67,147.000,1.739,4.980,2.807
140,68,148.000,1.668,4.622,2.712
141,69,149.000,1.790,5.101,2.664
142,70,150.000,1.682,5.493,2.959
143,71,151.000,1.690,1.595,1.581
