index_pb,PB_INA,channel_shihai,rms_no,rms_cab,rms_cab_hv
0,0,1,2.34469,16.2788,10.001
1,1,2.000,2.412,16.915,9.259
2,2,3.000,2.173,16.291,9.904
3,3,4.000,2.170,15.903,9.799
4,4,5.000,2.162,15.852,9.792
5,5,6.000,2.291,16.029,9.863
6,6,7.000,2.107,16.343,9.767
7,7,8.000,2.020,2.588,2.396
8,8,9.000,2.131,2.398,2.279
9,9,10.000,2.158,16.131,9.399
10,10,11.000,2.183,15.828,9.309
11,11,12.000,2.075,3.429,2.885
12,12,13.000,2.059,15.273,9.203
13,13,14.000,2.187,2.259,2.201
14,14,15.000,2.044,15.239,9.085
15,15,16.000,2.435,2.714,2.344
16,16,17.000,2.344,2.705,2.517
17,17,18.000,2.042,2.577,2.370
18,18,20.000,2.503,14.224,8.476
19,19,21.000,1.904,14.066,8.077
20,20,22.000,2.079,14.180,8.524
21,21,23.000,2.103,14.527,8.694
22,22,24.000,2.349,12.855,8.020
23,23,25.000,1.945,13.670,7.789
24,24,26.000,2.103,13.088,7.626
25,25,27.000,2.076,13.347,7.845
26,26,28.000,2.384,2.537,2.435
27,27,29.000,5.386,8.791,8.085
28,28,30.000,3.263,11.383,7.860
29,29,31.000,2.285,12.585,7.647
30,30,32.000,2.147,11.948,7.105
31,31,33.000,2.232,12.638,7.515
32,32,34.000,4.086,12.045,6.838
33,33,35.000,2.054,11.200,5.855
34,34,36.000,1.859,10.533,5.485
35,35,37.000,2.106,2.300,2.069
36,36,39.000,1.984,3.478,2.894
37,37,40.000,2.025,3.692,2.907
38,38,41.000,2.096,3.987,3.091
39,39,42.000,1.919,3.791,2.834
40,40,43.000,1.143,0.986,1.139
41,41,44.000,1.865,3.418,2.862
42,42,45.000,0.000,0.000,0.000
43,43,46.000,1.773,3.846,2.838
44,44,47.000,1.854,1.976,1.880
45,45,48.000,1.842,4.597,3.226
46,46,49.000,1.833,4.563,3.159
47,47,50.000,1.878,4.844,3.266
48,48,51.000,1.849,4.732,3.211
49,49,52.000,2.158,6.518,3.515
50,50,53.000,1.921,5.356,3.471
51,51,54.000,2.020,5.845,3.789
52,52,55.000,1.981,6.095,3.877
53,53,56.000,2.070,2.138,2.104
54,54,58.000,1.865,5.895,3.635
55,55,59.000,1.859,5.602,3.471
56,56,60.000,1.980,6.573,3.939
57,57,61.000,1.812,6.212,3.683
58,58,62.000,1.819,6.433,3.804
59,59,63.000,2.135,6.675,4.236
60,60,64.000,1.923,7.044,4.304
61,61,65.000,1.904,6.227,4.298
62,62,66.000,2.001,2.000,1.916
63,63,67.000,2.100,7.219,4.696
64,64,68.000,1.873,7.316,4.471
65,65,69.000,1.979,8.136,4.830
66,66,70.000,1.909,7.744,4.499
67,67,71.000,1.938,8.477,4.875
68,68,72.000,1.793,7.952,4.615
69,69,73.000,1.923,9.168,5.204
70,70,74.000,1.940,9.047,5.265
71,71,75.000,2.002,2.022,1.872
72,0,77.000,1.403,9.778,4.863
73,1,78.000,1.949,12.356,6.555
74,2,79.000,0.352,5.878,2.670
75,3,80.000,1.687,11.029,5.860
76,4,81.000,1.777,11.221,5.790
77,5,82.000,1.951,11.077,6.222
78,6,83.000,1.686,10.920,5.264
79,7,84.000,1.937,11.714,6.466
80,8,85.000,1.926,2.143,2.016
81,9,86.000,1.912,11.038,6.076
82,10,87.000,2.116,11.032,6.163
83,11,88.000,2.018,11.669,6.573
84,12,89.000,1.969,10.729,5.911
85,13,90.000,1.920,10.679,5.915
86,14,91.000,2.039,9.597,5.605
87,15,92.000,2.083,7.872,5.704
88,16,93.000,1.948,9.764,5.745
89,17,94.000,1.933,2.337,2.161
90,18,96.000,1.972,10.624,5.957
91,19,97.000,1.692,9.503,5.025
92,20,98.000,1.842,9.932,5.537
93,21,99.000,1.740,9.289,5.081
94,22,100.000,1.719,9.170,5.059
95,23,101.000,1.974,9.911,5.490
96,24,102.000,1.976,10.015,5.538
97,25,103.000,2.033,9.398,5.231
98,26,104.000,1.763,2.072,1.903
99,27,105.000,2.078,5.723,4.467
100,28,106.000,1.913,9.073,4.941
101,29,107.000,1.709,8.254,4.464
102,30,108.000,2.026,7.007,5.020
103,31,109.000,1.756,8.205,4.363
104,32,110.000,2.240,8.743,5.070
105,33,111.000,1.959,8.436,4.666
106,34,112.000,1.909,7.974,4.462
107,35,113.000,1.885,2.286,2.136
108,36,115.000,1.964,3.716,2.775
109,37,116.000,1.982,3.925,2.806
110,38,117.000,1.968,3.975,2.771
111,39,118.000,2.105,4.593,3.004
112,40,119.000,1.922,4.011,2.779
113,41,120.000,2.010,3.852,2.814
114,42,121.000,0.931,4.021,2.350
115,43,122.000,2.083,4.699,3.041
116,44,123.000,2.004,1.963,2.028
117,45,124.000,1.953,4.462,2.806
118,46,125.000,2.020,4.471,3.071
119,47,126.000,2.117,4.936,3.237
120,48,127.000,1.814,4.906,2.968
121,49,128.000,2.100,5.183,3.230
122,50,129.000,1.977,4.942,3.089
123,51,130.000,2.008,5.125,3.086
124,52,131.000,1.955,5.130,3.251
125,53,132.000,2.155,2.158,2.252
