index_pb,PB_INA,channel_shihai,rms_no,rms_cab,rms_cab_hv
126,54,134.000,2.022,5.531,3.507
127,55,135.000,1.917,4.824,3.090
128,56,136.000,1.986,5.627,3.489
129,57,137.000,2.109,5.662,3.487
130,58,138.000,1.952,5.157,3.293
131,59,139.000,2.030,5.304,3.684
132,60,140.000,1.984,6.055,3.622
133,61,141.000,2.079,6.028,3.630
134,62,142.000,1.943,2.029,2.093
135,63,143.000,2.102,6.046,3.762
136,64,144.000,1.945,6.078,3.808
137,65,145.000,2.069,6.072,3.905
138,66,146.000,2.064,6.804,3.932
139,67,147.000,1.975,6.344,3.932
140,68,148.000,2.045,6.545,4.021
141,69,149.000,2.033,6.605,3.970
142,70,150.000,2.067,6.691,4.115
143,71,151.000,2.124,2.105,2.095
