J1 pin; Signal;PB_INA;ASIC_Channel; JA pin; JA signal; JA local; JB pin; JB signal; JB local; JC pin; JC signal; JC local; JD pin; JD signal; JD local
96;VBIAS_C;;;;;;;;;;;;;;
97;PB_INA54;54;52;;;;;;;;;;32;D_SIPM1;D_Anode_D2
98;PB_INA55;55;51;;;;;;;;;;31;D_SIPM2;D_Anode_D3
99;VBIAS_D;;;;;;;;;;;;;;
100;VBIAS_D;;;;;;;;;;;;;;
101;PB_INA56;56;50;;;;;;;;;;28;D_SIPM0;D_Anode_D1
102;PB_INA57;57;49;;;;;;;;;;27;D_SIPM3;D_Anode_D4
103;VBIAS_D;;;;;;;;;;;;;;
104;VBIAS_D;;;;;;;;;;;;;;
105;PB_INA58;58;48;;;;;;;;;;24;D_SIPM5;D_Anode_D6
106;PB_INA59;59;47;;;;;;;;;;23;D_SIPM6;D_Anode_D7
107;VBIAS_D;;;;;;;;;;;;;;
108;VBIAS_D;;;;;;;;;;;;;;
109;PB_INA60;60;46;;;;;;;;;;20;D_SIPM4;D_Anode_D5
110;PB_INA61;61;45;;;;;;;;;;19;D_SIPM7;D_Anode_D8
111;VBIAS_D;;;;;;;;;;;;;;
112;VBIAS_D;;;;;;;;;;;;;;
113;PB_INA63;63;42;;;;;;;;;;16;D_SIPM9;D_Anode_D10
114;PB_INA64;64;43;;;;;;;;;;15;D_SIPM10;D_Anode_D11
115;VBIAS_D;;;;;;;;;;;;;;
116;VBIAS_D;;;;;;;;;;;;;;
117;PB_INA65;65;40;;;;;;;;;;12;D_SIPM8;D_Anode_D9
118;PB_INA66;66;41;;;;;;;;;;11;D_SIPM11;D_Anode_D12
119;VBIAS_D;;;;;;;;;;;;;;
120;VBIAS_D;;;;;;;;;;;;;;
121;PB_INA67;67;38;;;;;;;;;;8;D_SIPM13;D_Anode_D14
122;PB_INA68;68;39;;;;;;;;;;7;D_SIPM14;D_Anode_D15
123;VBIAS_D;;;;;;;;;;;;;;
124;VBIAS_D;;;;;;;;;;;;;;
125;PB_INA69;69;36;;;;;;;;;;4;D_SIPM12;D_Anode_D13
126;PB_INA70;70;37;;;;;;;;;;3;D_SIPM15;D_Anode_D16
127;VBIAS_D;;;;;;;;;;;;;;
128;VBIAS_D;;;;;;;;;;;;;;
129;;;;;;;;;;;;;;;
130;;;;;;;;;;;;;;;
131;GND;;;;;;;;;;;;;;
132;GND;;;;;;;;;;;;;;
133;GND;;;;;;;;;;;;;;
134;;;;;;;;;;;;;;;
135;GND;;;;;;;;;;;;;;
136;;;;;;;;;;;;;;;
137;GND;;;;;;;;;;;;;;
138;;;;;;;;;;;;;;;
139;GND;;;;;;;;;;;;;;
140;;;;;;;;;;;;;;;
