id,x,y
279,446.339,-446.339
280,-467.593,-425.085
281,-446.339,-425.085
282,-425.085,-425.085
283,-403.831,-425.085
284,-382.576,-425.085
285,-361.322,-425.085
286,-340.068,-425.085
287,-318.814,-425.085
288,-297.559,-425.085
289,-276.305,-425.085
290,-255.051,-425.085
291,-233.797,-425.085
292,-212.542,-425.085
293,-191.288,-425.085
294,-170.034,-425.085
295,-148.78,-425.085
296,-127.525,-425.085
297,-106.271,-425.085
298,-85.017,-425.085
299,-63.763,-425.085
300,-42.508,-425.085
301,-21.254,-425.085
302,0,-425.085
303,21.254,-425.085
304,42.508,-425.085
305,63.763,-425.085
306,85.017,-425.085
307,106.271,-425.085
308,127.525,-425.085
309,148.78,-425.085
310,170.034,-425.085
311,191.288,-425.085
312,212.542,-425.085
313,233.797,-425.085
314,255.051,-425.085
315,276.305,-425.085
316,297.559,-425.085
317,318.814,-425.085
318,340.068,-425.085
319,361.322,-425.085
320,382.576,-425.085
321,403.831,-425.085
322,425.085,-425.085
323,446.339,-425.085
324,467.593,-425.085
325,-488.847,-403.831
326,-467.593,-403.831
327,-446.339,-403.831
328,-425.085,-403.831
329,-403.831,-403.831
330,-382.576,-403.831
331,-361.322,-403.831
332,-340.068,-403.831
333,-318.814,-403.831
334,-297.559,-403.831
335,-276.305,-403.831
336,-255.051,-403.831
337,-233.797,-403.831
338,-212.542,-403.831
339,-191.288,-403.831
340,-170.034,-403.831
341,-148.78,-403.831
342,-127.525,-403.831
343,-106.271,-403.831
344,-85.017,-403.831
345,-63.763,-403.831
346,-42.508,-403.831
347,-21.254,-403.831
348,0,-403.831
349,21.254,-403.831
350,42.508,-403.831
351,63.763,-403.831
352,85.017,-403.831
353,106.271,-403.831
354,127.525,-403.831
355,148.78,-403.831
356,170.034,-403.831
357,191.288,-403.831
358,212.542,-403.831
359,233.797,-403.831
360,255.051,-403.831
361,276.305,-403.831
362,297.559,-403.831
363,318.814,-403.831
364,340.068,-403.831
365,361.322,-403.831
366,382.576,-403.831
367,403.831,-403.831
368,425.085,-403.831
369,446.339,-403.831
370,467.593,-403.831
371,488.847,-403.831
372,-488.847,-382.576
373,-467.593,-382.576
374,-446.339,-382.576
375,-425.085,-382.576
376,-403.831,-382.576
377,-382.576,-382.576
378,-361.322,-382.576
379,-340.068,-382.576
380,-318.814,-382.576
381,-297.559,-382.576
382,-276.305,-382.576
383,-255.051,-382.576
384,-233.797,-382.576
385,-212.542,-382.576
386,-191.288,-382.576
387,-170.034,-382.576
388,-148.78,-382.576
389,-127.525,-382.576
390,-106.271,-382.576
391,-85.017,-382.576
392,-63.763,-382.576
393,-42.508,-382.576
394,-21.254,-382.576
395,0,-382.576
396,21.254,-382.576
397,42.508,-382.576
398,63.763,-382.576
399,85.017,-382.576
400,106.271,-382.576
401,127.525,-382.576
402,148.78,-382.576
403,170.034,-382.576
404,191.288,-382.576
405,212.542,-382.576
406,233.797,-382.576
407,255.051,-382.576
408,276.305,-382.576
409,297.559,-382.576
410,318.814,-382.576
411,340.068,-382.576
412,361.322,-382.576
413,382.576,-382.576
414,403.831,-382.576
415,425.085,-382.576
416,446.339,-382.576
417,467.593,-382.576
418,488.847,-382.576
419,-510.102,-361.322
420,-488.847,-361.322
421,-467.593,-361.322
422,-446.339,-361.322
423,-425.085,-361.322
424,-403.831,-361.322
425,-382.576,-361.322
426,-361.322,-361.322
427,-340.068,-361.322
428,-318.814,-361.322
429,-297.559,-361.322
430,-276.305,-361.322
431,-255.051,-361.322
432,-233.797,-361.322
433,-212.542,-361.322
434,-191.288,-361.322
435,-170.034,-361.322
436,-148.78,-361.322
437,-127.525,-361.322
438,-106.271,-361.322
439,-85.017,-361.322
440,-63.763,-361.322
441,-42.508,-361.322
442,-21.254,-361.322
443,0,-361.322
444,21.254,-361.322
445,42.508,-361.322
446,63.763,-361.322
447,85.017,-361.322
448,106.271,-361.322
449,127.525,-361.322
450,148.78,-361.322
451,170.034,-361.322
452,191.288,-361.322
453,212.542,-361.322
454,233.797,-361.322
455,255.051,-361.322
456,276.305,-361.322
457,297.559,-361.322
458,318.814,-361.322
459,340.068,-361.322
460,361.322,-361.322
461,382.576,-361.322
462,403.831,-361.322
463,425.085,-361.322
464,446.339,-361.322
465,467.593,-361.322
466,488.847,-361.322
467,510.102,-361.322
468,-510.102,-340.068
469,-488.847,-340.068
470,-467.593,-340.068
471,-446.339,-340.068
472,-425.085,-340.068
473,-403.831,-340.068
474,-382.576,-340.068
475,-361.322,-340.068
476,-340.068,-340.068
477,-318.814,-340.068
478,-297.559,-340.068
479,-276.305,-340.068
480,-255.051,-340.068
481,-233.797,-340.068
482,-212.542,-340.068
483,-191.288,-340.068
484,-170.034,-340.068
485,-148.78,-340.068
486,-127.525,-340.068
487,-106.271,-340.068
488,-85.017,-340.068
489,-63.763,-340.068
490,-42.508,-340.068
491,-21.254,-340.068
492,0,-340.068
493,21.254,-340.068
494,42.508,-340.068
495,63.763,-340.068
496,85.017,-340.068
497,106.271,-340.068
498,127.525,-340.068
499,148.78,-340.068
500,170.034,-340.068
501,191.288,-340.068
502,212.542,-340.068
503,233.797,-340.068
504,255.051,-340.068
505,276.305,-340.068
506,297.559,-340.068
507,318.814,-340.068
508,340.068,-340.068
509,361.322,-340.068
510,382.576,-340.068
511,403.831,-340.068
512,425.085,-340.068
513,446.339,-340.068
514,467.593,-340.068
515,488.847,-340.068
516,510.102,-340.068
517,-531.356,-318.814
518,-510.102,-318.814
519,-488.847,-318.814
520,-467.593,-318.814
521,-446.339,-318.814
522,-425.085,-318.814
523,-403.831,-318.814
524,-382.576,-318.814
525,-361.322,-318.814
526,-340.068,-318.814
527,-318.814,-318.814
528,-297.559,-318.814
529,-276.305,-318.814
530,-255.051,-318.814
531,-233.797,-318.814
532,-212.542,-318.814
533,-191.288,-318.814
534,-170.034,-318.814
535,-148.78,-318.814
536,-127.525,-318.814
537,-106.271,-318.814
538,-85.017,-318.814
539,-63.763,-318.814
540,-42.508,-318.814
541,-21.254,-318.814
542,0,-318.814
543,21.254,-318.814
544,42.508,-318.814
545,63.763,-318.814
546,85.017,-318.814
547,106.271,-318.814
548,127.525,-318.814
549,148.78,-318.814
550,170.034,-318.814
551,191.288,-318.814
552,212.542,-318.814
553,233.797,-318.814
554,255.051,-318.814
555,276.305,-318.814
556,297.559,-318.814
557,318.814,-318.814
558,340.068,-318.814
559,361.322,-318.814
560,382.576,-318.814
561,403.831,-318.814
562,425.085,-318.814
563,446.339,-318.814
564,467.593,-318.814
565,488.847,-318.814
566,510.102,-318.814
567,531.356,-318.814
568,-531.356,-297.559
569,-510.102,-297.559
570,-488.847,-297.559
571,-467.593,-297.559
572,-446.339,-297.559
573,-425.085,-297.559
574,-403.831,-297.559
575,-382.576,-297.559
576,-361.322,-297.559
577,-340.068,-297.559
578,-318.814,-297.559
579,-297.559,-297.559
580,-276.305,-297.559
581,-255.051,-297.559
582,-233.797,-297.559
583,-212.542,-297.559
584,-191.288,-297.559
585,-170.034,-297.559
586,-148.78,-297.559
587,-127.525,-297.559
588,-106.271,-297.559
589,-85.017,-297.559
590,-63.763,-297.559
591,-42.508,-297.559
592,-21.254,-297.559
593,0,-297.559
594,21.254,-297.559
595,42.508,-297.559
596,63.763,-297.559
