crystal_id,C_pi0
0,1.0
1,1.0
2,1.0696562640706044
3,1.0
4,1.0
5,1.0
6,1.111128038109305
7,1.0
8,1.0915983677792678
9,1.0467677938129614
10,1.0
11,1.0
12,1.1070766976100987
13,1.0866105537462423
14,1.0
15,1.0
16,1.0
17,1.093081141548244
18,1.0
19,1.1000368592681034
20,1.0608564704544972
21,1.069540608349046
22,1.0753558080946868
23,1.0591339269189832
24,1.0768275808195604
25,1.1008353430690376
26,1.0595608886274142
27,1.0866708704629533
28,1.066546102713068
29,1.0965484652430313
30,1.0442285740880586
31,1.0554993573247393
32,1.070589122852207
33,1.0541215501659875
34,1.0921612761531239
35,1.0686552805517333
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0850602205290847
41,1.1312710167645241
42,1.0255778335100467
43,1.0168102180242524
44,1.0669596325535116
45,1.0
46,1.0457062477451091
47,1.0209837906434776
48,1.0187757657425847
49,1.0548135576270599
50,1.068348456100542
51,1.0374077920491374
52,1.051635054442669
53,1.066791988613634
54,1.088675790742147
55,1.069199876934005
56,1.0613187702447722
57,1.1085009308282225
58,1.0684834476393656
59,1.0697328318783041
60,1.0882857527839913
61,1.0456208477963258
62,1.0
64,1.0
65,1.0882710752028815
66,1.0611493014188258
67,1.0620819690704355
68,1.0969879061300345
69,1.0655430793278433
70,1.0645123350543468
71,1.048051700390287
72,1.087090433169739
73,1.1038235854735248
74,1.055137554435323
75,1.0595077321793926
76,1.0594491429410318
77,1.0469761911114097
78,1.0476545851645342
79,1.078086288426618
80,1.0898774872539394
81,1.0642399793351105
82,1.0806746631754143
83,1.104501028476585
84,1.081046191397702
85,1.061171403474079
86,1.041209953909859
87,1.0525038570246896
88,1.0876990590873534
89,1.0939837775821684
90,1.1164031775972836
91,1.1210100039364346
92,1.0820349873715605
93,1.0720584442656391
94,1.094986549262021
95,1.1221315393765863
96,1.0542477323985573
97,1.0634970096448901
98,1.0395944302007272
99,1.063110765928961
100,1.034082494136378
101,1.0529053973876117
102,1.0698920976914545
103,1.0512222875619042
104,1.0951877880219243
105,1.0565240733021992
106,1.0797701867942684
107,1.0341345774867516
108,1.0414687750081324
109,1.0689194900704795
110,1.0494714838233143
111,1.0563229372907226
112,1.06038796628917
113,1.0687723155897115
114,1.0554827586627566
115,1.0630270424766919
116,1.080550290836434
117,1.076540402722726
118,1.0776240471424603
119,1.0611366337811117
120,1.0596255631886224
121,1.0
122,1.0
123,1.0
124,1.0695452697042764
125,1.0656513795211096
